,Component,Component Count
0,decane,9289
1,1-butanol,1327
2,heptane,1254
3,ethanol,1169
4,2-methyl-1-propanol,721
5,1-hexanol,664
6,1-propanol,659
7,toluene,641
8,water,634
9,methanol,606
10,1-pentanol,396
11,cyclohexane,368
12,2-propanol,357
13,1-octanol,356
14,octane,317
15,"1,2-ethanediol",314
16,1-heptanol,313
17,nonane,273
18,"1,2-propanediol",272
19,benzene,251
20,hexane,196
21,"1,2-dimethoxyethane",193
22,1-nonanol,184
23,"1,2-butanediol",157
24,2-hexanol,154
25,methylcyclohexane,142
26,"1,3-propanediol",136
27,dimethoxymethane,119
28,"2,5-dimethylfuran",119
29,"1,4-dimethylbenzene",116
30,ethylbenzene,110
31,2-methylfuran,109
32,furan,108
33,methoxymethane,108
34,2-methylheptane,107
35,"2,3-dimethylbutane",101
36,"2,2-dimethylbutane",101
37,3-methylpentane,100
38,2-methylpentane,100
39,"1,4-butanediol",98
40,bis(2-hydroxyethyl) ether,96
41,tetrahydrofuran,96
42,dibutyl ether,83
43,xylene,83
44,triethylene glycol,81
45,"2,5,8-trioxanonane",80
46,trans-decalin,78
47,"1,4-dioxane",77
48,"1,3-dimethylbenzene",76
49,butan-2-ol,75
50,2-methyl-2-propanol,65
51,methoxybenzene,63
52,diethyl ether,61
53,methyl tert-butyl ether,59
54,2-methylpropane,58
55,butane,50
56,isopropyl ether,47
57,"2,2,4-trimethylpentane",45
58,glycerol,43
59,benzyl alcohol,37
60,3-methyl-1-butanol,37
61,2-methyl-2-butanol,37
62,tetrahydropyran,35
63,2-methoxyethanol,35
64,tert-butyl ethyl ether,32
65,2-ethyl-1-hexanol,29
66,"ethanol, 2-ethoxy-",28
67,2-pentanol,26
68,"1,3-butanediol",26
69,"1,3,5-trimethylbenzene",25
70,ethane,25
71,hexylene glycol,23
72,2-butoxyethanol,20
73,cyclopentane,18
74,exo-tetrahydrodicyclopentadiene,18
75,2-phenylethanol,17
76,"1,2-hexanediol",15
77,2-ethyl-1-butanol,15
78,pentane,15
79,"1,2,4-trimethylbenzene",14
80,"1,3-dioxolane",13
81,cyclooctane,12
82,"1,2,3,4-tetrahydronaphthalene",12
83,2-heptanol,11
84,2-methyl-1-butanol,11
85,1-propoxy-2-propanol,10
86,2-(2-methoxyethoxy)ethanol,10
87,2-methyltetrahydrofuran,10
88,cyclohexene oxide,10
89,1-methoxy-2-propanol,9
90,4-methylphenol,9
91,dipropyl ether,9
92,butyl isobutyl ether,8
93,"ether, ethyl butyl",8
94,ethyl hexyl ether,8
95,3-methylphenol,8
96,pentyl propyl ether,8
97,cyclohexyl alcohol,8
98,isopropylbenzene,7
99,propylbenzene,6
100,"2,5-hexanediol",6
101,ethylcyclohexane,6
102,"1,2,4-trimethylcyclohexane",6
103,cyclopentanol,6
104,"1,5-hexanediol",6
105,butylcyclohexane,6
106,1-butoxy-2-propanol,5
107,"1,2-pentanediol",5
108,.alpha.-methylbenzyl alcohol,5
109,propylene glycol monoethyl ether,5
110,"propanol, oxybis-",5
111,"3,6-dioxa-1-octanol",5
112,2-butoxy-1-propanol,5
113,butylbenzene,5
114,"ethanol, 2-propoxy-",4
115,ethoxybenzene,4
116,4-methyl-2-pentanol,3
117,2-methyl-1-pentanol,3
118,2-methyl-2-pentanol,3
119,paraldehyde,3
120,methylcyclopentane,3
121,"2,2-dimethoxypropane",3
122,tert-amyl methyl ether,3
123,isobutylbenzene,3
124,3-pentanol,3
125,3-hexanol,3
126,"2,3-butanediol",3
127,"1,1-diethoxyethane",3
128,phenol,2
129,2-octanol,2
130,"butane, 2-ethoxy-2-methyl-",2
131,"1,5-pentanediol",1
132,"2,2-dimethyl-1,3-dioxolane",1
133,butyl tert-butyl ether,1
134,"3,6-dioxaoctane",1
135,"furfuryl alcohol, tetrahydro-",1
136,1-ethyl-2-methylbenzene,1
137,3-phenyl-1-propanol,1
138,2-(2-propoxyethoxy)ethanol,1
139,2-hydroxymethylfuran,1
140,dipropylene glycol monomethyl ether,1
141,2-isopropoxyethanol,1
142,"2,2-dimethyl-1,3-dioxolane-4-methanol",1
