,Component,Component Count
0,methoxymethane,145
1,toluene,51
2,water,31
3,1-butanol,11
4,1-pentanol,10
5,"2,5,8-trioxanonane",9
6,"1,2-dimethoxyethane",9
7,ethanol,8
8,octane,8
9,1-propanol,7
10,methanol,7
11,nonane,6
12,"1,2-propanediol",6
13,2-propanol,5
14,2-methyl-1-propanol,5
15,dibutyl ether,5
16,triethylene glycol,3
17,heptane,3
18,bis(2-hydroxyethyl) ether,3
19,"1,4-dioxane",3
20,2-ethyl-1-hexanol,3
21,"ethanol, 2-propoxy-",3
22,1-octanol,2
23,glycerol,2
24,1-heptanol,2
25,1-hexanol,2
26,"1,2-ethanediol",1
