;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;183;oxidane;O
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;132;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;91;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;85;Butan-1-ol;CCCCO
4;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;43;Oxolane;C1CCOC1
5;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;33;2-Methoxy-2-methylpropane;COC(C)(C)C
6;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;22;2-propan-2-yloxypropane;CC(C)OC(C)C
7;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;16;2-Methylpropan-2-ol;CC(C)(C)O
8;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;12;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
