;InChI;Count;Component;SMILES
0;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1327;Butan-1-ol;CCCCO
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1254;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1169;ethanol;CCO
3;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;634;oxidane;O
4;InChIKey=NKDDWNXOKDWJAK-UHFFFAOYSA-N;119;Dimethoxymethane;COCOC
5;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;101;2,2-Dimethylbutane;CCC(C)(C)C
6;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;101;2,3-Dimethylbutane;CC(C)C(C)C
7;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;100;3-Methylpentane;CCC(C)CC
8;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;96;Oxolane;C1CCOC1
9;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;65;2-Methylpropan-2-ol;CC(C)(C)O
10;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;59;2-Methoxy-2-methylpropane;COC(C)(C)C
11;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;47;2-propan-2-yloxypropane;CC(C)OC(C)C
12;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;45;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
13;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;3;1,1-Diethoxyethane;CCOC(C)OCC
14;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;3;2-Methylpentan-2-ol;CCCC(C)(C)O
15;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;3;4-Methylpentan-2-ol;CC(C)CC(C)O
