;InChI;Count;Component;SMILES
0;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;9511;Decane;CCCCCCCCCC
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;2029;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1851;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1844;Butan-1-ol;CCCCO
4;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1349;oxidane;O
5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;1218;methylbenzene;Cc1ccccc1
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;1197;Propan-1-ol;CCCO
7;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1043;methanol;CO
8;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;811;HEXAN-1-OL;CCCCCCO
9;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;805;2-Methylpropan-1-ol;CC(C)CO
10;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;710;Propan-2-ol;CC(C)O
11;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;671;Hexane;CCCCCC
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;572;Pentan-1-ol;CCCCCO
13;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;559;Heptan-1-ol;CCCCCCCO
14;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;550;Cyclohexane;C1CCCCC1
15;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;506;octane;CCCCCCCC
16;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;494;BENZENE;c1ccccc1
17;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;480;OCTAN-1-OL;CCCCCCCCO
18;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;474;Methoxymethane;COC
19;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;459;Ethane-1,2-diol;OCCO
20;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;411;Nonane;CCCCCCCCC
21;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;365;PROPANE-1,2-DIOL;CC(O)CO
22;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;362;1,2-Dimethoxyethane;COCCOC
23;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;299;Butane-1,4-diol;OCCCCO
24;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;282;Nonan-1-ol;CCCCCCCCCO
25;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;274;2-propan-2-yloxypropane;CC(C)OC(C)C
26;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;267;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
27;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;266;butane-1,2-diol;CCC(O)CO
28;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;260;Propane-1,3-diol;OCCCO
29;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;249;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
30;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;242;Butan-2-ol;CCC(C)O
31;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;224;Ethylbenzene;CCc1ccccc1
32;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;223;1,4-Dimethylbenzene;Cc1ccc(C)cc1
