;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;31;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;11;Butan-1-ol;CCCCO
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8;ethanol;CCO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3;HEPTANE;CCCCCCC
